GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
report/backend,org.enterprise.exam.backend.service,MenuService,9,152,2,14,2,38,2,11,0,5
report/backend,org.enterprise.exam.backend.service,DefaultDataInitializerService,3,88,0,0,2,13,0,7,0,7
report/backend,org.enterprise.exam.backend.service,DishService,2,33,2,2,0,9,2,3,0,3
report/backend,org.enterprise.exam.backend.entity,Menu,8,21,0,0,4,8,2,5,2,5
report/backend,org.enterprise.exam.backend.entity,Dish,4,20,0,0,2,9,1,6,1,6
report/frontend,org.enterprise.exam.frontend.controller,DishController,0,30,0,0,0,10,0,7,0,7
report/frontend,org.enterprise.exam.frontend.controller,MenuController,7,51,0,0,4,13,1,7,1,7
report/frontend,org.enterprise.exam.frontend.controller,HomeController,4,52,2,4,0,15,2,8,0,7
report/frontend,org.enterprise.exam,Application,6,3,0,0,2,1,1,1,1,1
report/frontend,org.enterprise.exam.frontend,RedirectForwardHandler,2,3,0,0,1,1,1,1,1,1
